q0	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q2	t94979	94.737	19	1	0	4	22	12	30	0.13	30.2
q3	t89448	100.000	14	0	0	17	30	17	4	0.53	28.2
q3	t89447	100.000	14	0	0	17	30	30	17	0.53	28.2
q3	t89446	100.000	14	0	0	17	30	49	36	0.53	28.2
q5	t94979	100.000	15	0	0	4	18	12	26	0.13	30.2
q6	t94979	94.444	18	1	0	5	22	13	30	0.53	28.2
q7	t30755	100.000	15	0	0	24	38	1	15	0.13	30.2
q8	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q9	t94979	100.000	14	0	0	26	39	26	13	0.53	28.2
q13	t94979	94.444	18	1	0	5	22	13	30	0.53	28.2
q14	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q19	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q19	t2440	100.000	14	0	0	11	24	26	39	0.53	28.2
q20	t102083	100.000	15	0	0	16	30	32	46	0.13	30.2
q20	t102079	100.000	14	0	0	16	29	14	1	0.53	28.2
q21	t94979	94.737	19	1	0	4	22	12	30	0.13	30.2
q22	t94979	94.737	19	1	0	4	22	12	30	0.13	30.2
q24	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q25	t94979	94.737	19	1	0	4	22	12	30	0.13	30.2
q28	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q29	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q30	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q30	t65246	100.000	14	0	0	34	47	34	21	0.53	28.2
q31	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q32	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q33	t94979	94.444	18	1	0	5	22	13	30	0.53	28.2
q34	t30755	100.000	15	0	0	24	38	1	15	0.13	30.2
q35	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q36	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q38	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q39	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q41	t94979	94.444	18	1	0	5	22	13	30	0.53	28.2
q43	t30755	100.000	15	0	0	24	38	1	15	0.13	30.2
q44	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q45	t30755	100.000	15	0	0	24	38	1	15	0.13	30.2
q47	t94979	100.000	15	0	0	4	18	12	26	0.13	30.2
q48	t94979	94.737	19	1	0	4	22	12	30	0.13	30.2
q49	t120730	100.000	15	0	0	3	17	10	24	0.13	30.2
q49	t64023	94.444	18	1	0	5	22	22	39	0.53	28.2
q50	t94979	94.737	19	1	0	4	22	12	30	0.13	30.2
q53	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q54	t86455	100.000	15	0	0	31	45	26	12	0.13	30.2
q54	t40686	100.000	14	0	0	32	45	19	32	0.53	28.2
q54	t40685	100.000	14	0	0	32	45	17	30	0.53	28.2
q55	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q56	t30755	100.000	15	0	0	24	38	1	15	0.13	30.2
q57	t94979	94.737	19	1	0	4	22	12	30	0.13	30.2
q58	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q58	t18498	100.000	14	0	0	35	48	42	29	0.53	28.2
q59	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q60	t94979	100.000	14	0	0	4	17	12	25	0.53	28.2
q62	t94979	100.000	15	0	0	4	18	12	26	0.13	30.2
